COL_ID	ITEM_ID	COL_CD	DICT_ID	COL_ORDER	COL_TYPE	VISIBLE	EDITABLE	TEXT_ALIGN	NECESSARY	COL_WIDTH	IN_COL_INDEX	IN_COL_DEFAULT_VALUE
1216	2584	maxNumber	373	7	number	1	1	right	1	170		
1217	2584	checkDigit	214	8	dropdown	1	1		1	170		
1218	2584	numberingSample	2652	9	text	1	0		0	170		
1219	2584	cashCount	2627	10	number	1	1	right	1	170		
1220	2584	delFlg	819	11	dropdown	1	1		1	110		
1221	2605	pickingWorkNo	455	1	text	1	0		0	125		
1222	2605	shippingPackingNo	443	2	text	1	0		0	125		
1223	2605	packingStatusNm	684	3	text	1	0		0	200		
1224	2605	userCd	2611	4	text	1	0		0	300		
1225	2605	userNm	2612	5	text	1	0		0	300		
1226	2605	pickingClear	2579	6		1	1		0			
1227	2606	locationNm	265	1	text	1	0		0	200		
1228	2606	warehouseAbbr	501	2	text	1	0		0	300		
1229	2606	productNm	474	3	text	1	0		0	300		
1230	2606	pickingWorkNo	455	4	text	1	0		0	125		
1231	2606	shippingPackingNo	443	5	text	1	0		0	125		
1232	2607	locationNm	265	1	text	1	0		0	200		
1233	2607	storeLabelNo	579	2	text	1	0		0	125		
1234	2607	storeDt	589	3	date	1	0		0	170		
1235	2607	warehouseAbbr	501	4	text	1	0		0	200		
1236	2607	productCd	470	5	text	1	0		0	200		
1237	2607	limitDt	315	6	date	1	0		0	170		
1238	2607	productNm	474	7	text	1	0		0	300		
1239	2607	janCd	180	8	text	1	0		0	200		
1240	2607	lot	266	9	text	1	0		0	170		
1241	2607	productUnit	2946	10	text	1	0		0	170		
1242	2607	unitNumBreakdown	2727	11	text	1	0	right	0	170		
1243	2607	pickingNum	1161	12	number	1	0	right	0	170		
1244	2607	pickingBreakdown	2922	13	text	1	0	right	0	170		
1245	2607	chargeNum	280	14	number	1	0	right	0	170		
1246	2607	chargeBreakdown	2923	15	text	1	0	right	0	170		
1247	2607	wmsShippingSlipNo	184	16	text	1	0		0	125		
1248	2607	clientShippingNo	352	17	text	1	0		0	125		
1249	2607	clientCd	299	18	text	1	0		0	200		
1250	2607	clientNm	305	19	text	1	0		0	300		
1251	2607	centerCd	202	20	text	1	0		0	200		
1252	2607	centerNm	208	21	text	1	0		0	300		
1253	2607	pickingWorkNo	455	22	text	1	0		0	125		
1254	2607	shippingPackingNo	443	23	text	1	0		0	125		
1255	2607	workDt	390	24	date	1	0		0	170		
1256	2607	delivDt	595	25	date	1	0		0	170		
1257	2607	pickingBatchNo	457	26	text	1	0		0	125		
1258	2607	boxCd	292	27	text	1	0		0	200		
1259	2607	boxNm	294	28	text	1	0		0	300		
1260	2607	deliveryCourseCd	605	29	text	1	0		0	200		
1261	2607	deliveryCourseNm	607	30	text	1	0		0	300		
1262	2607	carrierCd	286	31	text	1	0		0	200		
1263	2607	carrierNm	288	32	text	1	0		0	300		
1264	2607	supplyCustomerCd	597	33	text	1	0		0	200		
1265	2607	supplyCustomerNm	600	34	text	1	0		0	300		
1266	2607	pickingWorkMessage	456	35	text	1	0		0	300		
1267	2627	hpackingH.hshippingH.centerCd	202	43	text	1	0		0	200		
1268	2627	hpackingH.hshippingH.centerNm	208	44	text	1	0		0	200		
1269	2627	hpackingH.hshippingH.clientCd	299	41	text	1	0		0	200		
1270	2627	hpackingH.hshippingH.clientNm	305	42	text	1	0		0	200		
1271	2627	hpackingH.boxCd	292	36	text	1	0		0	160		
1272	2627	hpackingH.boxNm	294	37	text	1	0		0	300		
1273	2627	hpackingH.carrierTraceNum	308	12	text	1	0		0	160		
1274	2627	hpackingH.grossWeight	503	38	number	1	0	right	0	150		
1275	2627	hpackingH.hshippingH.carrierCd	286	15	text	1	0		0	110		
1276	2627	hpackingH.hshippingH.carrierNm	288	16	text	1	0		0	300		
1277	2627	hpackingH.hshippingH.clientShippingNo	352	8	text	1	0		0	260		
1278	2627	hpackingH.hshippingH.delivCustomerCd	554	6	text	1	0		0	200		
1279	2627	hpackingH.hshippingH.delivCustomerNm	562	7	text	1	0		0	300		
1280	2627	hpackingH.hshippingH.deliveryCourseCd	605	13	text	1	0		0	125		
1281	2627	hpackingH.hshippingH.deliveryCourseNm	607	14	text	1	0		0	300		
1282	2627	hpackingH.hshippingH.histDt	641	1	date	1	0		0	150		
1283	2627	hpackingH.hshippingH.mprocessType.processTypeCd	463	10	text	1	0		0	110		
1284	2627	hpackingH.hshippingH.mprocessType.vdict.dictNm	814	11	text	1	0		0	110		
1285	2627	hpackingH.hshippingH.shippingDt	448	2	date	1	0		0	150		
1286	2627	hpackingH.hshippingH.shippingSlipNo	184	9	text	1	0		0	150		
1287	2627	hpackingH.hshippingH.supplyCustomerCd	597	4	text	1	0		0	200		
1288	2627	hpackingH.hshippingH.supplyCustomerNm	600	5	text	1	0		0	300		
1289	2627	hpackingH.hshippingH.workDt	390	3	date	1	0		0	150		
1290	2627	hpackingH.totalVolume	504	39	number	1	0	right	0	150		
1291	2627	hstock.depositAbbr	1679	33	text	1	0		0	150		
1292	2627	hstock.depositCd	634	31	text	1	0		0	160		
1293	2627	hstock.depositNm	637	32	text	1	0		0	300		
1294	2627	hstock.janCd	180	20	text	1	0		0	205		
1295	2627	hstock.limitDt	315	22	date	1	0		0	150		
1296	2627	hstock.locationCd	262	29	text	1	0		0	200		
1297	2627	hstock.locationNm	265	30	text	1	0		0	250		
1298	2627	hstock.lot	266	21	text	1	0		0	170		
1299	2627	hstock.mstockType.stockTypeCd	384	23	text	1	0		0	110		
1300	2627	hstock.mstockType.vdict.dictNm	865	24	text	1	0		0	110		
1301	2627	hstock.oldStoreLabelNo	347	35	text	1	0		0	150		
1302	2627	hstock.productAbbr	475	19	text	1	0		0	300		
1303	2627	hstock.productCd	470	17	text	1	0		0	245		
1304	2627	hstock.productNm	474	18	text	1	0		0	300		
1305	2627	hstock.storeLabelNo	579	34	text	1	0		0	140		
1306	2627	hstock.warehouseCd	499	25	text	1	0		0	150		
1307	2627	hstock.warehouseNm	501	26	text	1	0		0	300		
1308	2627	hstock.zoneCd	211	27	text	1	0		0	150		
1309	2627	hstock.zoneNm	213	28	text	1	0		0	170		
1310	2627	packingNum	367	40	number	1	0	right	0	140		
1311	2642	tpackingH.tpickingH.pickingWorkNo	455	1	text	1	0		0	125		
1312	2642	tpackingH.mbox.boxCd	292	2	text	1	0		0	160		
1313	2642	tpackingH.mbox.boxNm	294	3	text	1	0		0	300		
1314	2642	tallocInstB.mproduct.productCd	470	4	text	1	0		0	245		
1315	2642	tallocInstB.mproduct.janCd	180	5	text	1	0		0	205		
1316	2642	tallocInstB.mproduct.productNm	474	6	text	1	0		0	300		
1317	2642	tallocInstB.mproduct.productAbbr	475	7	text	1	0		0	300		
1318	2642	packingNum	852	8	number	1	0	right	0	85		
1319	2642	tpackingH.shippingPackingNo	443	9	text	1	0		0	150		
1320	2642	tpackingH.tpickingH.pickingStatus	450	10	text	1	0		0	125		
1321	2642	tpackingH.tpickingH.bclassDtlByPickingStatus.vdict.dictNm	1675	11	text	1	0		0	155		
1322	2642	tpackingH.tallocInstH.workDt	390	12	date	1	0		0	150		
