MESSAGE_ID	MESSAGE_CD	MESSAGE_TYPE	SYSTEM_TYPE	MESSAGE_NM	MESSAGE_ABBR	CULTURE_ID
1701	shippingDtDateError	error	wms	出荷日が日付不正(形式:yyyy/MM/dd)	日付不正(形式:yyyy/MM/dd)	1
1702	shippingDtNotInputError	error	wms	出荷日を入力して下さい。	未入力	1
1703	shippingDtNotSelectError	info	wms	出荷日が空白以外の行を選択して下さい。	未選択	1
1704	shippingDtUnmatchShippingDataError	error	wms	出荷日が出荷データと不一致です。	不一致	1
1705	shippingInfoUpdateCondition	info	wms	出荷情報更新	出荷情報更新	1
1706	shippingInspectionCompleteTagLabelReissueInformation	info	wms	出荷検品が完了しました。出庫指示時と梱包数が異なりますので、荷札を再出力して下さい。		1
1707	shippingInstBatchParameterInformation	info	wms	センタCD：[0] , 荷主CD：[1] , 出庫指示バッチNo.：[2] , 処理No.：[3] , 伝票数：[4]	パラメータ情報	1
1708	shippingInstBatchProgramNameInformation	info	wms	出庫指示	プログラム名称情報	1
1709	shippingInstBatchRegisterInformation	info	wms	出庫指示処理をキューに登録しました。キューNo.([0])	キュー登録完了	1
1710	shippingLimitDtManagFlgCannotInputExceptLimitDtManagementProductError	error	wms	この商品は期限日管理対象外です。指定期限日は入力しないで下さい。	入力不可	1
1711	shippingLimitNumCannotInputExceptLimitDtManagFlgProductError	error	wms	期限日管理フラグに[管理しない]を設定した場合、出荷期限日数は入力しないで下さい。	出荷期限日数入力不可	1
1712	shippingLimitNumCheckInputDecimalError	error	wms	出荷期限日限界日数に小数は入力できません。	小数不可	1
1713	shippingLimitNumCheckInputIntegerLengthError	error	wms	出荷期限日数は整数[0]桁以内を入力して下さい。	整数[0]桁以内	1
1714	shippingLimitNumCheckInputMaxError	error	wms	出荷期限日限界日数は整数5桁以内を入力して下さい。	整数5桁以内	1
1715	shippingLimitNumCheckNumericOnlyError	error	wms	出荷期限日限界日数 数値のみ	数値のみ	1
1716	shippingLimitNumInputRequestMinIsZeroError	error	wms	出荷期限日限界日数は最小0以上を入力して下さい。	最小0以上	1
1717	shippingLimitNumNotInputError	error	wms	出荷期限日数を入力して下さい。	未入力	1
1718	shippingLotManagFlgCannotInputExceptLotManagementProductError	error	wms	この商品はロット管理対象外です。指定ロットは入力しないで下さい。	入力不可	1
1719	shippingPackingNoCannotPickingTargetCasePickingError	error	wms	対象の出荷梱包No.はケースピッキング対象です。		1
1720	shippingPlanBulkInputProgramNameInformation	info	wms	出荷予定一括取込	プログラム名称情報	1
1721	shippingStopFlgNotFoundError	error	wms	出荷停止フラグが存在しません。	未存在	1
1722	shippingStopFlgNotInputError	error	wms	出荷停止フラグを入力して下さい。	未入力	1
1723	shippingTagDataOutputFileNameSgwInformation	info	wms	佐川送り状データ	SAGAWA	1
1724	shippingTagDataOutputFileNameYmtInformation	info	wms	ヤマト送り状データ	YAMATO	1
1725	shippingTagDataOutputFileNameYupkInformation	info	wms	ゆうパック送り状データ	YOUPACK	1
1726	shippingUpdateComplete	info	wms	出荷実績訂正が完了しました。[0]	完了	1
1727	shippingUpdateCompleteChangePacking	info	wms	梱包数に変更があります。梱包明細修正にて梱包内容を修正して下さい。	完了	1
