メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ	メッセージマスタ	メッセージマスタ	メッセージマスタ	HTメッセージマスタ
minError	error	base	ja-JP	最小[0]以上	最小[0]以上	[0]は[1]以上で入力してください。	en-US	Must be greater than [0]	Must be greater than [0]	[0] must be greater or [/]equal to [1].	zh-CN	最小[0]以上	最小[0]以上	[0]请输入[1]以上。
minFileSize	error	base	ja-JP	サーバへ送信可能なファイルサイズに達していません。	ファイルサイズ不足		en-US	Upload does not have a valid file size.	Invalid file size		zh-CN	没有达到向服务器发送的文件尺寸。	文件尺寸不足	
minlengthError	error	base	ja-JP	最小[0]文字以上	最小[0]文字以上	[0]は[1]文字以上で入力してください。	en-US	Minimum [0] character(s)	Minimum [0] character(s)	[0] must contain at least [/][1] characters.	zh-CN	最小[0]文字以上	最小[0]文字以上	[0]请输入[1]文字以上。
moreInfo	error	base	ja-JP	詳しい情報			en-US	More info			zh-CN	详细信息		
noDetailsError	error	base	ja-JP	明細が入力されていません。	明細未入力		en-US	Details must be entered.	Required		zh-CN	明细未输入。	明细未输入	
notBlankError	info	base	ja-JP	[0]を入力してください。			en-US	Please enter [0].			zh-CN	请输入[0]。		
noUseableReportLayoutError	error	base	ja-JP	使用可能な帳票レイアウトが登録されていません。			en-US	A valid report layout is not registered.			zh-CN	无法登录可以使用的清单布局。		
numberError	error	base	ja-JP	数値のみ			en-US	Numeric values only			zh-CN	仅数值		
onlyOneSelect	error	base	ja-JP	一件のみ選択して下さい。	1件のみ選択		en-US	Select one record only.	Select only one		zh-CN	请只选择一件。	只选择一件	
overSafetySizeError	error	base	ja-JP	検索件数が[0]件を超えています。検索条件を見直し再度処理を実行して下さい。			en-US	Search results exceed [0] records. Review the search conditions and try again.			zh-CN	检索件数超过[0]件。请重新确认检索条件后再次执行处理。		
overSafetySizeToReportError	error	base	ja-JP	発行データ件数が[0]件を超えています。発行条件を見直し再度処理を実行して下さい。			en-US	Number of data to be issued exceeds [0]. Please review the search conditions before running the process again.			zh-CN	发行数据件数超过[0]件。请重新确认发行条件后再次执行处理。		
overLimitSizeWarn	warn	base	ja-JP	検索件数が[0]件を超えています。[1]件以降のデータを表示する場合は検索条件を変更して再検索して下さい。			en-US	Search results exceed [0] records. To view data past [1] records, review the search conditions and search again.			zh-CN	检索件数超过了[0]件。[1]件以下的数据显示时，请更改检索条件，再次检索。		
passwordChangeByMgtSuccess	info	base	ja-JP	パスワードが変更されました｡			en-US	The password has been changed.			zh-CN	密码已变更｡		
passwordChangeErrorAvailableDateContext	error	base	ja-JP	パスワード変更ができません｡[/][0]には[1]より後の日付を入力してください。			en-US	The password cannot be changed. [/][0] must be later than [1].			zh-CN	无法变更密码｡[/][0]中请输入[1]之后的日期。		
passwordChangeErrorBecameLockout	error	base	ja-JP	ロックアウトされました。システム管理者に問い合わせてください。[/]ログイン画面に移動します。			en-US	Your account has been locked. Please contact your system administrator. [/]You will be redirected to the Login screen.			zh-CN	已锁定。请向系统管理者询问。[/]移动到登录画面。		
passwordChangeErrorLockout	error	base	ja-JP	ロックアウトされています。システム管理者に問い合わせてください。[/]ログイン画面に移動します。			en-US	Your account is currently locked. Please contact your system administrator. [/]You will be redirected to the Login screen.			zh-CN	已锁定。请向系统管理者询问。[/]移动到登录画面。		
passwordChangeErrorMinAlpha	error	base	ja-JP	パスワード変更ができません｡[/]パスワードには[0]桁以上の英字を含めてください。			en-US	The password cannot be changed. [/]The password must contain at least [0] alphabetical characters.			zh-CN	无法变更密码｡[/]密码中请包含[0]位以上的字母。		
passwordChangeErrorMinLength	error	base	ja-JP	パスワード変更ができません｡[/]パスワードは[0]桁以上を入力してください。			en-US	The password cannot be changed. [/]The password must be at least [0] characters long.			zh-CN	无法变更密码｡[/]请输入[0]位以上的密码。		
passwordChangeErrorMinLowerCase	error	base	ja-JP	パスワード変更ができません｡[/]パスワードには[0]桁以上の小文字を含めてください。			en-US	The password cannot be changed. [/]The password must contain at least [0] lower case characters.			zh-CN	无法变更密码｡[/]密码中请包含[0]位以上的小写字母。		
passwordChangeErrorMinNumbers	error	base	ja-JP	パスワード変更ができません｡[/]パスワードには[0]桁以上の数字を含めてください。			en-US	The password cannot be changed. [/]The password must contain at least [0] numbers.			zh-CN	无法变更密码｡[/]密码中请包含[0]位以上的数字。		
passwordChangeErrorMinSymbol	error	base	ja-JP	パスワード変更ができません｡[/]パスワードには[0]桁以上の半角記号を含めてください。			en-US	The password cannot be changed. [/]The password must contain at least [0] half-width special characters.			zh-CN	无法变更密码｡[/]密码中请包含[0]位以上的半角字符		
passwordChangeErrorMinUpperCase	error	base	ja-JP	パスワード変更ができません｡[/]パスワードには[0]桁以上の大文字を含めてください。			en-US	The password cannot be changed. [/]The password must contain at least [0] upper case characters.			zh-CN	无法变更密码｡[/]密码中请包含[0]位以上的大写字母。		
